user_name,user_id,nickname,account_created,verified,bio_link,followers,following,heart,heart_count,videos,diggs
['alecbairos'],['56255119335383040'],['Up-Next Affiliate'],[1453783781],[False],['https://linktr.ee/Alecbairos'],[139000],[432],[4300000],[4300000],[874],[0]
['phamquangninh96'],['6671609974927392769'],['Phạm Quang Ninh'],[1553326497],[False],['-'],[35400],[200],[396800],[396800],[115],[441]
['6figures.anas'],['6785106311219840006'],['The 6 Figures Biz 🇺🇸'],[1596978689],[False],['Https://beacons.page/6figures.anas'],[102200],[175],[779700],[779700],[1000],[7528]
['moneyteenz'],['6930668894907384837'],['Business | Millionaire | Money'],[1613672294],[False],['https://beacons.page/britts'],[149400],[5],[4400000],[4400000],[458],[0]
['investwithdason'],['6691591578370294790'],['Dason Thomas'],[1559158295],[False],['https://beacons.page/investwithdason'],[387600],[10],[6600000],[6600000],[95],[0]
['colincliveaudie'],['6910872730465092614'],['ColinCliveAudie'],[1609063249],[False],['https://colinaudie.com/training'],[129700],[1476],[939700],[939700],[224],[0]
['timotechanut'],['6751470951944963078'],['Timoté Chanut'],[1571949784],[False],['https://youngwithsolutions.com/freelance'],[1400000],[384],[18800000],[18800000],[393],[0]
['profitwithleah'],['6947454638300857346'],['Leah Oum'],[1617864667],[False],['www.SuccessWithLeah.com'],[41600],[1],[606000],[606000],[142],[0]
['makemoneywithdani'],['6920663268731143174'],['💵 Make Money W/ Dani💵'],[1611342588],[False],['https://beacons.page/makemoneywithdani'],[198600],[1236],[1200000],[1200000],[255],[0]
['alextheaffiliate'],['6904021281005962245'],['AlexTheAffiliate'],[1607467853],[False],['alexrobinson.info/welcomepage'],[147700],[41],[2000000],[2000000],[439],[0]
