user_name,user_id,nickname,account_created,verified,bio_link,followers,following,heart,heart_count,videos,diggs
['naomiboyer'],['6755939935561778181'],['Naomi Boyer'],[1582912166],[True],['Linktree.com/naomiboyer'],[834400],[56],[6300000],[6300000],[153],[0]
['summerrachelwarren'],['6795767580415820805'],['summerrachelwarren'],[1582445999],[False],['https://youtu.be/3d9mJgV2wb4'],[365200],[259],[8200000],[8200000],[228],[0]
['heybriajones'],['6609395315488342021'],['Bria Jones'],[1538871500],[True],['https://bit.ly/2KXnl74'],[385600],[293],[12900000],[12900000],[450],[0]
['nazjaa'],['6750511818433266694'],['nazjaa'],[1571729001],[False],['https://bit.ly/nazjaalinks'],[372500],[727],[9900000],[9900000],[330],[0]
['mikaylanogueira'],['6802654298129630213'],['Mikayla Nogueira'],[1583954386],[True],['https://linktr.ee/Mikaylanogueira'],[5600000],[49],[286700000],[286700000],[1112],[0]
['mariacastellanos_ri'],['6764035555557016581'],['mariacastellanos_ri'],[1574885133],[False],['https://beacons.page/mariacastellanos_ri'],[308900],[222],[3800000],[3800000],[113],[0]
['saraxjoy'],['6624113395250446342'],['sara joy 🤩'],[1542683811],[False],['-'],[220800],[197],[6900000],[6900000],[276],[0]
['inmyseams'],['3375028'],['Janette Ok'],[1451204074],[True],['https://obsw.it/inmyseams'],[1600000],[467],[39200000],[39200000],[654],[0]
['yourgirlkarly'],['6689079843025323013'],['Your Girl Karly'],[1557394047],[False],['www.yourgirlkarly.com/deets'],[284300],[2018],[5800000],[5800000],[719],[0]
['adriennefinch'],['76346047303675904'],['professional weirdo'],[1458573831],[False],['https://linktr.ee/adrienneontiktok'],[817400],[318],[32800000],[32800000],[338],[0]
['denisemmercedes'],['6747702167774643206'],['Denise Mercedes'],[1571072012],[True],['https://linktr.ee/denisemmercedes'],[3400000],[220],[57800000],[57800000],[175],[0]
