user_name,user_id,nickname,account_created,verified,bio_link,followers,following,heart,heart_count,videos,diggs
['heycarmennnn'],['6766666810315244549'],['heycarmen'],[1575767932],[False],['https://obsessedwith.it/heycarmen'],[8608],[98],[305400],[305400],[58],[0]
['magiclinks'],['6719504280841520134'],['MagicLinks'],[1564506592],[False],['magk.la/tiktokapply'],[225],[329],[1461],[1461],[129],[0]
['denisemmercedes'],['6747702167774643206'],['Denise Mercedes'],[1571072012],[True],['https://linktr.ee/denisemmercedes'],[3400000],[216],[57800000],[57800000],[175],[0]
['nazjaa'],['6750511818433266694'],['nazjaa'],[1571729001],[False],['https://bit.ly/nazjaalinks'],[372600],[725],[9900000],[9900000],[330],[0]
['mikaylamags'],['2248000'],['mikaylamags'],[1451102477],[False],['https://docs.google.com/document/d/1I_mzFOSAmYe57F3X7dKkmpFOyv9cRHyo7jJmXLO_F84/edit?usp=sharing'],[12900],[323],[2000000],[2000000],[95],[0]
['toritadlock'],['6532060793825951746'],['Tori'],[1554918597],[False],['https://linktr.ee/toritadlock'],[1320],[2776],[154000],[154000],[42],[0]
['ali_raye'],['6784228238749156358'],['Ali'],[1586933208],[False],['https://linktr.ee/AliRaye'],[60800],[691],[469900],[469900],[980],[0]
['inmyseams'],['3375028'],['Janette Ok'],[1451204074],[True],['https://obsw.it/inmyseams'],[1600000],[467],[39200000],[39200000],[655],[0]
['summerrachelwarren'],['6795767580415820805'],['summerrachelwarren'],[1582445999],[False],['https://youtu.be/3d9mJgV2wb4'],[365200],[259],[8200000],[8200000],[228],[0]
['yourgirlkarly'],['6689079843025323013'],['Your Girl Karly'],[1557394047],[False],['www.yourgirlkarly.com/deets'],[284300],[2018],[5800000],[5800000],[719],[0]
['mariacastellanos_ri'],['6764035555557016581'],['mariacastellanos_ri'],[1574885133],[False],['https://beacons.page/mariacastellanos_ri'],[309000],[222],[3800000],[3800000],[113],[0]
['mikaylanogueira'],['6802654298129630213'],['Mikayla Nogueira'],[1583954386],[True],['https://linktr.ee/Mikaylanogueira'],[5600000],[49],[286700000],[286700000],[1112],[0]
['lyricdasanta'],['6877554947740648453'],['Lyric Da Santa'],[1601277006],[False],['-'],[40],[26],[101],[101],[3],[0]
['nataliebarbu'],['6762643619255714821'],['nataliebarbu'],[1574522098],[False],['https://msha.ke/nataliebarbu'],[5339],[162],[111300],[111300],[43],[0]
['lynetteadkins'],['6806520288902579205'],['Lynette Adkins'],[1595840679],[False],['https://linktr.ee/Lynetteadki'],[101700],[242],[4100000],[4100000],[221],[0]
['shamywoldu'],['6674453186618065926'],['shamy.woldu'],[1571170633],[False],['-'],[62],[204],[1224],[1224],[96],[0]
['adriennefinch'],['76346047303675904'],['professional weirdo'],[1458573831],[False],['https://linktr.ee/adrienneontiktok'],[817400],[318],[32800000],[32800000],[338],[0]
['delaneychilds'],['6674001566897767430'],['Delaney Childs'],[1553912394],[False],['https://www.liketoknow.it/delaneychilds'],[148300],[296],[1600000],[1600000],[182],[0]
['noticiasmk'],['6785497585407837189'],['Noticiasmk'],[1582988979],[False],['https://campsite.bio/noticiasmk'],[2756],[163],[20400],[20400],[114],[0]
['amandamariepena'],['6707615598430798854'],['Amanda Peña'],[1561738565],[False],['https://www.redaspenlove.com/ShoppingCart/?PartyID=47271&OwnerID=619025'],[309700],[173],[13700000],[13700000],[1011],[0]
['deniscolak'],['6712784730713359365'],['Denis'],[1564471430],[False],['-'],[52500],[79],[811000],[811000],[176],[0]
['nicolecarlsonxo'],['6761770099965821957'],['Nicole Carlson'],[1574318598],[False],['http://nicolecarlsonxo.com/tiktok'],[201400],[77],[179700],[179700],[148],[0]
['saraxjoy'],['6624113395250446342'],['sara joy 🤩'],[1542683811],[False],['-'],[220800],[198],[6900000],[6900000],[276],[0]
['paguintotwins'],['6777041320467121157'],['Paguinto Twins'],[1578937097],[False],['-'],[525],[567],[50200],[50200],[48],[0]
['superashley127'],['6548070292237058050'],['Ashley Lopez'],[1567912822],[False],['https://beacons.page/superashley127'],[522200],[961],[7400000],[7400000],[325],[0]
['naomiboyer'],['6755939935561778181'],['Naomi Boyer'],[1582912166],[True],['Linktree.com/naomiboyer'],[834400],[56],[6300000],[6300000],[153],[0]
['yazigijaragua'],['6835259962870432774'],['Yázigi Jaraguá do Sul'],[1601406798],[False],['-'],[9],[9],[43],[43],[10],[0]
['emilygrace.26'],['6748541394832851974'],['emily'],[1571238578],[False],['-'],[381],[117],[844],[844],[5],[0]
['heybriajones'],['6609395315488342021'],['Bria Jones'],[1538871500],[True],['https://bit.ly/2KXnl74'],[385600],[294],[12900000],[12900000],[450],[0]
