video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6.97E+18,You have to do this!! It’s so cute! ❤️,1623181644,9,1.54E+17,paigemackenzie,Paige Mackenzie ,6.93E+18,original sound,Klaus Mikaelson,17500,22,73,74900
6.97E+18,Life is hard 😭 #comedy #relatable #foryoupage,1623097446,10,1.54E+17,paigemackenzie,Paige Mackenzie ,6.85E+18,original sound,Cardi B FanPage,8778,27,49,44500
6.97E+18,How dare she! @__hunterpaige__,1623000565,5,1.54E+17,paigemackenzie,Paige Mackenzie ,6.97E+18,siennas legal team,Tik Toker,25600,43,139,137300
6.97E+18,Stitch this and show me your favorite summer memories! ￼#bodylanguage #countrymusic #summer #stitch,1622925356,19,1.54E+17,paigemackenzie,Paige Mackenzie ,6.96E+18,Body Language (feat. The Swon Brothers),Blake Shelton,9442,13,70,49100
6.97E+18,How dare she forget about me 🙄 #dog #puppys #foryoupage #good4u,1622837669,15,1.54E+17,paigemackenzie,Paige Mackenzie ,6.96E+18,good 4 u,mommy,422700,1406,2268,1500000
6.97E+18,I just can’t help it 🤷‍♀️,1622833499,6,1.54E+17,paigemackenzie,Paige Mackenzie ,6.87E+18,What a time by Niall Horan and Julia Michaels,ana.tpwk,17200,33,120,83800
6.97E+18,I’m just encouraging you ☺️ @__hunterpaige__,1622755363,10,1.54E+17,paigemackenzie,Paige Mackenzie ,6.94E+18,Bretman Rock x MTV_You Can Do It,MTV,21300,31,70,121000
6.97E+18,So which do we like better?￼,1622754334,13,1.54E+17,paigemackenzie,Paige Mackenzie ,6.96E+18,All I Know So Far,P!nk,38700,9,320,175000
6.97E+18,This is your sign to go ride some Rollercoaster 🎢 #SarahProctor  #Lost #SarahProctorLost #sixflags #rollercoaster,1622669856,24,1.54E+17,paigemackenzie,Paige Mackenzie ,6.96E+18,Lost,Sarah Proctor,31200,76,318,168500
6.97E+18,So close so close 😬￼,1622658255,10,1.54E+17,paigemackenzie,Paige Mackenzie ,6.95E+18,Original sound,Titus Wright,47600,16,59,211100
6.97E+18,All ready and nowhere to go 🤠 ￼#beachcowboy #ootd #transition,1622583285,10,1.54E+17,paigemackenzie,Paige Mackenzie ,6.95E+18,Beach Cowboy,Brian Kelley,15000,3,87,74300
