video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,music_duration,diggs,shares,comments,plays
6963641578741107970,,1621349153,30,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6730006925787793410,Bé Khoẻ Bé Ngoan,Nguyệt Hằng,30,3,0,0,205
6962525403919420673,Nhảy đi nhảy đi 💃,1621089273,15,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6578271836579040001,"nhảy, nhảy, nhảy đi",kim,15,6,0,0,324
6953067541598162177,#OngKinhCamBien,1618887195,22,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6946578370058521345,Họ Yêu Ai Mất Rồi (Drama Version),Doãn Hiếu,22,17,0,2,1361
6844156455529106689,Mất răng và làm cầu răng,1593529361,14,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6828393673852454913, Anh Đứng Từ Chiều,Huy Vạc,60,60,2,10,2937
6833404966116297986,🤣 #kinhdoanhonline #futurevn #afiliatemarketing #phamquangninh96,1591026079,10,6671609974927392769,phamquangninh96,Phạm Quang Ninh,280811148541788160,Astronomia,Tony Igy,30,63,6,2,4235
6830610623651466497,Kiếm tiền online #kinhdoanhonline #futurevn #afiliatemarketing #tamsaothatban #phamquangninh96,1590375478,14,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6828500679225526274,"Em Không Sai, Chúng Ta Sai",erik,60,54,2,20,3780
6830427778450459906,#diduongquyen #khitoigia #studiotainha #duataydaynao #duataydaynao,1590332899,22,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6830427792887286530,nhạc nền - Phạm Quang Ninh,Phạm Quang Ninh,22,35,2,0,3090
6829630216697072898,#diduongquyen #futurevn #nghenghiepcuatoi #dongbangkhunghinh #thankyouhero,1590147202,15,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6829630228613090050,nhạc nền - Phạm Quang Ninh,Phạm Quang Ninh,15,21,0,2,2808
6829198672908012802,Phong độ từ bé #futurevn #kinhdoanhonline #kyuctrongtoi #kiemtienonline #afiliatemarketing #diduongquyen #phamquangninh96,1590046725,27,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6784340600498948098,Anh Thanh Niên,HuyR,28,42,0,6,3793
6828943842247445762,kinh doanh FutureVN #kiemtienonline #kinhdoanhonline #kyuctrongtoi #tilevang #futurevn #phamquangninh96,1589987393,10,6671609974927392769,phamquangninh96,Phạm Quang Ninh,6819801047058500353,nhạc nền - Nguyễn Văn Ánh,Nguyễn Văn Ánh,11,49,4,19,3178
