video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6969638276546235653,The best swimsuits to try from @gosummersalt #ad #tiktokfashion #summerfashion #swimsuit #bikini #fashionhacks,1622745369,30,6755939935561778181,naomiboyer,Naomi Boyer,6773851609840486402,SUNNY DAY,Matteo Rossanese,3610,43,13,57700
6968121167437679878,3 neutral summer outfits from @express  #tiktokfashion #howto #summerstyle #neutral #summerfashion,1622392139,22,6755939935561778181,naomiboyer,Naomi Boyer,6968121061997103877,original sound,Naomi Boyer,2083,25,18,38900
6966436536606838022,How I make monthly passive income just from linking alone through @magiclinks #monetize #howto #lifehack,1621999908,28,6755939935561778181,naomiboyer,Naomi Boyer,6966436321544194822,original sound,Naomi Boyer,1659,49,6,32000
6965873752601103621,How to incorporate color into your summer wardrobe! #summerfashion #howto #fashionhacks #summerstyle #tiktokfashion @vicidolls,1621868873,30,6755939935561778181,naomiboyer,Naomi Boyer,6777704947698894849,Easy to Adore You,Mauve,3269,26,11,51400
6959631635197299973,5 Beauty Products You Need In Your Bag feat. @revolve #tiktokbeauty #makeup #mothersday #springlook,1620415516,16,6755939935561778181,naomiboyer,Naomi Boyer,210888266424979456,The Chainsmokers,Roses,2071,16,4,63600
6958921371304938757,Try-On Haul feat. @revolve #tiktokfashion #ootd #haul #springoutfit,1620250145,18,6755939935561778181,naomiboyer,Naomi Boyer,6561072545905251328,Better Not (with Wafia),Louis The Child & Wafia,1205,20,14,36000
6958154821908155653,Teamed up with @revolve to show you my Mother’s Day must-haves. Link in bio to shop! #mothersday #tiktokfashion #springoutfit #giftguide,1620071669,16,6755939935561778181,naomiboyer,Naomi Boyer,210888266424979456,The Chainsmokers,Roses,7738,158,79,166800
6953383256993697029,3 Things You Need From Revolve #ad #revolvefortheworld #tiktokfashion #lookbook #2021fashion,1618960703,29,6755939935561778181,naomiboyer,Naomi Boyer,6636283827796839176,Summer Breeze,Tobu & Jordan Kelvin James,5831,79,21,93600
6946235371432840453,My new collaboration with @miranda_frye_official ...use code “naomi” for a discount at Mirandafrye.com #jewelry #accessories #tiktokfashion #style,1617296455,16,6755939935561778181,naomiboyer,Naomi Boyer,6457695133684108046,Slide, Calvin Harris / Frank Ocean / Migos,5657,44,29,109100
6940802262759476485,Mini @meshki Haul #90s #haul #tiktokfashion #fashion #style,1616031463,25,6755939935561778181,naomiboyer,Naomi Boyer,6750908441163745281,In Da Club,Instrumental Hip Hop Beats Crew,4914,44,27,92200
6938118603925376262,4 lounge sets that don’t look like loungewear #loungewear #wfh #sweats #style #fashion #tiktokfashion,1615406623,29,6755939935561778181,naomiboyer,Naomi Boyer,6938118550238284550,original sound,Naomi Boyer,4874,103,17,90800
6937455615392402694,3 More Things You Need From Zara #zara #fashion #style #tiktokfashion #zarahaul,1615252260,18,6755939935561778181,naomiboyer,Naomi Boyer,6937455472794487558,original sound,Naomi Boyer,5221,94,19,105000
6936268012303502598,How to apply makeup using only blush @lauramercier #howto #makeup #beauty #beautyhacks #makeuphacks #hacks,1614975748,14,6755939935561778181,naomiboyer,Naomi Boyer,6936267952656239366,original sound,Naomi Boyer,2600,16,15,80900
6935935588436577542,Two Months of Presley #cutebaby #newborn #babiesoftiktok #baby,1614898351,16,6755939935561778181,naomiboyer,Naomi Boyer,6723236158584670210,Baby Love,The Supremes,2641,26,35,51800
6934822553064180998,3 Things You Need From Zara #zara #fashion #style #tiktokfashion #zarahaul,1614639211,15,6755939935561778181,naomiboyer,Naomi Boyer,6934822510634470149,original sound,Naomi Boyer,21000,247,41,623900
6933610000430419205,Spring Lips @ctilburymakeup @elfcosmetics #beauty #tiktokbeauty #makeup #spring #nudelip,1614356892,11,6755939935561778181,naomiboyer,Naomi Boyer,6798712325755897858,Fabulous,Ally Brooke,1763,12,9,80900
6933297371073776901,Giving myself life as a new mom and getting ready for Spring and Summer by brightening up my dull tan using these products from @qvc #ad #loveQVC,1614284099,30,6755939935561778181,naomiboyer,Naomi Boyer,6933297373586197254,original sound,Naomi Boyer,3787,43,30,95200
6932982142855105798,My Hair Process “Beige Blonde” #hair #tiktokhair #blonde #balayage #beauty,1614210709,20,6755939935561778181,naomiboyer,Naomi Boyer,6929628989015197698,Caution,Kaytranada,2252,92,14,71900
6927107230051405062,"One month with my baby, Presley!! 🎈 🎈🎈#babiesoftiktok #newborn #cutebaby",1612842857,22,6755939935561778181,naomiboyer,Naomi Boyer,6927107221725973253,original sound,Naomi Boyer,11200,131,86,140000
6922646701840878854,Presley is a mood! #mood #pregnant #newborn #baby #babiesoftiktok #tiktokbaby,1611804306,13,6755939935561778181,naomiboyer,Naomi Boyer,6560933337047766031,Beautiful,Bazzi,8281,57,80,109100
