user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
evilheroyt,6618387530566189062,evilhero,6788667635069422853,would you try to keep the money?? would YouTube return the money? #foryoupage #viral #money#moneyprank#evil,1580609857,58,https://www.tiktok.com/@evilheroyt/video/6788667635069422853?lang=en,9000000,116300,39400,64100000
destorm,6239329,DeStorm Power,6804081804581162245,People don’t want money anymore. @kingbach @theevelyngonzalez #coronavirus #lifehack #money,1584198747,28,https://www.tiktok.com/@destorm/video/6804081804581162245?lang=en,7200000,267900,15600,49600000
investmentjoy,6749203349689025541,Investmentjoy,6863152147370970373,Another day collecting money at the laundromat. It's tough work but someone has to play with the money. #fyp #foryou #foryourpage #money #business,1597952138,59,https://www.tiktok.com/@investmentjoy/video/6863152147370970373?lang=en,5900000,33900,17900,24700000
investmentjoy,6749203349689025541,Investmentjoy,6920719107713207557,How much did it make? #vending #money #business #foryou,1611355499,59,https://www.tiktok.com/@investmentjoy/video/6920719107713207557?lang=en,5600000,17300,9513,37300000
faaresq,6753822030435632133,faares,6925202387946720517,How to lower your monthly bills 🧾 #learnontiktok #bills #sales #money,1612399343,42,https://www.tiktok.com/@faaresq/video/6925202387946720517?lang=en,5400000,64100,18000,22200000
kassandralopez39,6750685291319952389,Lopez,6927134072837868805,#coins #saving #fyp #viral #money #saveup #hawaii,1612849121,30,https://www.tiktok.com/@kassandralopez39/video/6927134072837868805?lang=en,5000000,100000,39200,23500000
karragen,6652753722626719750,Karragen,6914756116282936582,Nova scares me sometimes😅 #fyp #foryou #kids #nova #griffin #money #businesswoman,1609967131,59,https://www.tiktok.com/@karragen/video/6914756116282936582?lang=en,4900000,50300,28200,16300000
wolf.cami,6666923251723583494,Cami👽,6770403223229566213,rainy day fund jar😊 #fyp #foryou #money #SyrupTurnUp,1576357343,59,https://www.tiktok.com/@wolf.cami/video/6770403223229566213?lang=en,4800000,70500,13300,20800000
thecoinshow,6820364864121259014,Eric Miller,6884634080219057414,Do you have it??? #penny #pennies #coin #money #thecoinshow #foryou 💵💵💵😱😱😱,1602953833,28,https://www.tiktok.com/@thecoinshow/video/6884634080219057414?lang=en,4100000,269200,29000,27600000
curtisray,6787462540659262470,Curtis Ray,6907318400113020166,Reply to @reginalynn3 #homebuyer #homebuyertips #mortgage #mortgagetips #retirementfund #retirementsavings #retirementplanning #retirementplan #money,1608235409,56,https://www.tiktok.com/@curtisray/video/6907318400113020166?lang=en,3800000,393300,28800,25800000
